*******************************************************************************
 Revised: Dec 12, 2013               Neptune                                899
 
 PHYSICAL DATA (update 2009-May-26):
  Mass (10^24 kg)       =   102.41        Density (g/cm^3)       =  1.638
  Equat. radius (1 bar) = 24766+-15 km    Polar radius (km)      = 24342+-30
  Volumetric mean radius= 24624+-21 km    Flattening             =  0.0171 
  Rotation period       = 16.11+-0.01 hr  Rot. rate(10^-4 rad/s) =  1.083   
  m = w^2a^3/GM         =  0.02609        Hydrostatic flat., fh  =  0.01804
  Inferred rot. period  = 16.7+-1.4 hr    ks = 3*J2/m            =  0.407
  Mom. of inert. I/MRo^2=                 I/MRo^2 (upper bound)  =  0.239 
  Rocky core mass (Mc/M)=                 Y factor (He/H ratio)  =  0.235+-.040
  GM (km^3/s^2)         = 6,835,107       GM 1-sigma (km^3/s^2)  = +-15 
  Equ. grav, ge (m/s^2) = 11.15           Pol. grav, gp (m/s^2)  = 11.41+-0.03
  Geometric albedo      =  0.41           Visual magnitude V(1,0)= -6.87
  Vis. mag. (opposition)= +7.84           Obliquity to orbit     = 29.56 deg
  Sidereal orbit period = 164.79132 yr    Sidereal orbit period  = 60190.029 d
  Mean daily motion     = 0.006020076dg/d Mean orbit velocity    = 5.4778 km/s 
  Atmos. temp. (1 bar)  =  72+-2 K        Heat flow/mass (x10^7) =  2 erg/gm*s
  Planetary Solar Const =   1.47 W/m^2    Dipole tilt/offset     = 47deg/0.55Rp 
  Escape velocity (km/s)=  23.5           Mag.dip.mom(gauss-Rp^3)= 0.133
  Aroche(ice)/Rp        =  2.98           Hill's sphere rad., Rp = 4700
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Sat Nov 11 05:59:53 2017 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Neptune (899)                   {source: nep081xl}
Center body name: Sun (10)                        {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1950-Nov-11 00:00:00.0000 TDB
Stop  time      : A.D. 2100-Dec-11 00:00:00.0000 TDB
Step-size       : 1 calendar months
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 696000.0 x 696000.0 x 696000.0 k{Equator, meridian, pole}    
Keplerian GM    : 1.3271927514144174E+11 km^3/s^2
Output units    : KM-S, deg, Julian Day Number (Tp)                            
Output type     : GEOMETRIC osculating elements
Output format   : 10
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                     EC,                     QR,                     IN,                     OM,                      W,                     Tp,                      N,                     MA,                     TA,                      A,                     AD,                     PR,
**************************************************************************************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2433596.500000000, A.D. 1950-Nov-11 00:00:00.0000,  9.458158065168646E-03,  4.449601150642917E+09,  1.768141530265539E+00,  1.316630206496847E+02,  2.641365046373563E+02,  2.406577254331246E+06,  6.932936867456313E-08,  1.618468339055915E+02,  1.621807537006383E+02,  4.492088029266370E+09,  4.534574907889823E+09,  5.192604618828495E+09,
2433626.500000000, A.D. 1950-Dec-11 00:00:00.0000,  9.725688616131611E-03,  4.447381880084058E+09,  1.769455836747895E+00,  1.317591352882868E+02,  2.644874145403817E+02,  2.406664094902507E+06,  6.935316244361444E-08,  1.615617844355775E+02,  1.619102519337572E+02,  4.491060536417451E+09,  4.534739192750844E+09,  5.190823133590879E+09,
2433657.500000000, A.D. 1951-Jan-11 00:00:00.0000,  1.016429247679351E-02,  4.443379863643341E+09,  1.773416811410949E+00,  1.320520512407706E+02,  2.633715809552773E+02,  2.406545278606775E+06,  6.940074682711030E-08,  1.625709668686644E+02,  1.629156530316428E+02,  4.489007448278145E+09,  4.534635032912949E+09,  5.187264063552868E+09,
2433688.500000000, A.D. 1951-Feb-11 00:00:00.0000,  1.007373819842278E-02,  4.444025576370728E+09,  1.771145399311842E+00,  1.318843748360441E+02,  2.629122712850597E+02,  2.406435983096463E+06,  6.939514332660326E-08,  1.633990161483322E+02,  1.637248878671222E+02,  4.489249096476134E+09,  4.534472616581540E+09,  5.187682923366637E+09,
2433716.500000000, A.D. 1951-Mar-11 00:00:00.0000,  1.039626746735846E-02,  4.441454702905069E+09,  1.773532333419844E+00,  1.320639753480421E+02,  2.637425281147354E+02,  2.406619789258120E+06,  6.942146336629172E-08,  1.625264621666896E+02,  1.628797914122293E+02,  4.488114340007879E+09,  4.534773977110689E+09,  5.185716096195137E+09,
2433747.500000000, A.D. 1951-Apr-11 00:00:00.0000,  1.020024746010787E-02,  4.443106648284572E+09,  1.770462848047913E+00,  1.318328161724626E+02,  2.637504169141976E+02,  2.406573658296694E+06,  6.940336660432862E-08,  1.629466068484132E+02,  1.632852585680668E+02,  4.488894482831768E+09,  4.534682317378964E+09,  5.187068259272989E+09,
2433777.500000000, A.D. 1951-May-11 00:00:00.0000,  1.015946521354945E-02,  4.443636853254819E+09,  1.768854262205070E+00,  1.317082837770943E+02,  2.646207014215926E+02,  2.406697069934120E+06,  6.939523405657008E-08,  1.623674404317019E+02,  1.627158656079944E+02,  4.489245183532007E+09,  4.534853513809196E+09,  5.187676140792791E+09,
2433808.500000000, A.D. 1951-Jun-11 00:00:00.0000,  1.033617896624132E-02,  4.442509102803174E+09,  1.769085741014138E+00,  1.317251749918929E+02,  2.662302008763310E+02,  2.406977737348977E+06,  6.940307047797347E-08,  1.608886636917186E+02,  1.612717725601286E+02,  4.488907251517720E+09,  4.535305400232266E+09,  5.187090391256588E+09,
