*******************************************************************************
 Revised: Sep 29, 2017              Jupiter                                 599
 
 PHYSICAL DATA (updated 2009-Jan-28):
  Mass (10^24 kg)       =  1898.13+-.19   Density (g/cm^3)       =  1.326
  Equat. radius (1 bar) = 71492+-4 km     Polar radius (km)      = 66854+-10
  Volumetric mean radius= 69911+-6 km     Flattening             =  0.06487
  Rotation period       = 9h 55m 29.685s  Rot. rate(10^-4 rad/s) =  1.75865
  m = w^2a^3/GM         =  0.089195       Hydrostatic flat., fh  =  0.06509
  Inferred rot. period  =  9.894+-0.02 hr ks = 3*J2/m            =  0.494
  Mom. of inert. I/MRo^2=  0.254          I/MRo^2 (upper bound)  =  0.267 
  Rocky core mass (Mc/M)=  0.0261         Y factor (He/H ratio)  =  0.18+-0.04
  GM (km^3/s^2)         = 126,686,511     GM 1-sigma (km^3/s^2)  = +-100
  Equ. grav, ge (m/s^2) = 24.79           Pol. grav, gp (m/s^2)  = 28.34
  Geometric albedo      =  0.52           Visual magnitude V(1,0)= -9.40
  Vis. mag. (opposition)= -2.70           Obliquity to orbit     =  3.12 deg
  Sidereal orbit period = 11.862615 yr    Sidereal orbit period  = 4332.820 d
  Mean daily motion     = 0.0831294 deg/d Mean orbit velocity    = 13.0697 km/s
  Atmos. temp. (1 bar)  = 165+-5 K        Heat flow/mass (x10^7) = 15 erg/gm*s
  Planetary Solar Const =  50.5 W/m^2     Dipole tilt/offset     = 9.6deg/0.1Rp 
  Escape velocity (km/s)=  59.5           Mag.dip.mom(gauss-Rp^3)= 4.2 
  A_roche(ice)/Rp       =  2.76           Hill's sphere rad. Rp  = 740
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Sat Nov 11 05:58:32 2017 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Jupiter (599)                   {source: jup341}
Center body name: Sun (10)                        {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1950-Nov-11 00:00:00.0000 TDB
Stop  time      : A.D. 2100-Dec-11 00:00:00.0000 TDB
Step-size       : 1 calendar months
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 696000.0 x 696000.0 x 696000.0 k{Equator, meridian, pole}    
Keplerian GM    : 1.3283912657685089E+11 km^3/s^2
Output units    : KM-S, deg, Julian Day Number (Tp)                            
Output type     : GEOMETRIC osculating elements
Output format   : 10
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                     EC,                     QR,                     IN,                     OM,                      W,                     Tp,                      N,                     MA,                     TA,                      A,                     AD,                     PR,
**************************************************************************************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2433596.500000000, A.D. 1950-Nov-11 00:00:00.0000,  4.886378338751950E-02,  7.402171247971176E+08,  1.305285482415147E+00,  1.003991650002092E+02,  2.740895640956977E+02,  2.433973600333232E+06,  9.618581382385074E-07,  3.286612490874367E+02,  3.255906000988471E+02,  7.782451260592705E+08,  8.162731273214234E+08,  3.742755669347287E+08,
2433626.500000000, A.D. 1950-Dec-11 00:00:00.0000,  4.893564438376206E-02,  7.402502462752844E+08,  1.305183989332472E+00,  1.003917571998053E+02,  2.739803555407188E+02,  2.433972323622595E+06,  9.616845862070598E-07,  3.312656714250376E+02,  3.284185768378404E+02,  7.783387547897770E+08,  8.164272633042697E+08,  3.743431112064103E+08,
2433657.500000000, A.D. 1951-Jan-11 00:00:00.0000,  4.909542060349717E-02,  7.403091060260956E+08,  1.304996583297341E+00,  1.003742442548299E+02,  2.737561098859063E+02,  2.433969675469272E+06,  9.613275960064690E-07,  3.340711100095562E+02,  3.314687081570301E+02,  7.785314342433151E+08,  8.167537624605346E+08,  3.744821239871882E+08,
2433688.500000000, A.D. 1951-Feb-11 00:00:00.0000,  4.893051588277601E-02,  7.402470238173552E+08,  1.305200145144242E+00,  1.003941877451205E+02,  2.740030060397174E+02,  2.433972598306006E+06,  9.616986445655738E-07,  3.363940550181067E+02,  3.340164742807258E+02,  7.783311694670210E+08,  8.164153151166868E+08,  3.743376389623821E+08,
2433716.500000000, A.D. 1951-Mar-11 00:00:00.0000,  4.897620889938477E-02,  7.402487432603341E+08,  1.305176706855123E+00,  1.003920785426786E+02,  2.739952346857070E+02,  2.433972485479340E+06,  9.616259893810475E-07,  3.387315781580243E+02,  3.365734662899100E+02,  7.783703732623217E+08,  8.164920032643093E+08,  3.743659218608627E+08,
2433747.500000000, A.D. 1951-Apr-11 00:00:00.0000,  4.861583565440351E-02,  7.402547787951003E+08,  1.305246831951057E+00,  1.004029892481560E+02,  2.740410813402316E+02,  2.433973146873505E+06,  9.621608599622526E-07,  3.412418178361817E+02,  3.393415968339892E+02,  7.780818795783510E+08,  8.159089803616017E+08,  3.741578097597147E+08,
2433777.500000000, A.D. 1951-May-11 00:00:00.0000,  4.882523084335155E-02,  7.402851346015618E+08,  1.305131663183894E+00,  1.003854321261933E+02,  2.738601352787711E+02,  2.433970962956320E+06,  9.617840660339961E-07,  3.439235875314115E+02,  3.422782025649159E+02,  7.782850834636095E+08,  8.162850323256571E+08,  3.743043919249907E+08,
2433808.500000000, A.D. 1951-Jun-11 00:00:00.0000,  4.915723388225809E-02,  7.402736700802357E+08,  1.305113864125980E+00,  1.003804585333453E+02,  2.738750410744376E+02,  2.433971042259565E+06,  9.613028816576973E-07,  3.464997976070550E+02,  3.451015860431672E+02,  7.785447778108966E+08,  8.168158855415576E+08,  3.744917516310843E+08,
